uf,url,status,content_type,sample
AC,https://api.infosimples.com/consultas/docs/sefaz/ac/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
AL,https://api.infosimples.com/consultas/docs/sefaz/al/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
AP,https://api.infosimples.com/consultas/docs/sefaz/ap/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
AM,https://api.infosimples.com/consultas/docs/sefaz/am/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
BA,https://api.infosimples.com/consultas/docs/sefaz/ba/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
CE,https://api.infosimples.com/consultas/docs/sefaz/ce/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
DF,https://api.infosimples.com/consultas/docs/sefaz/df/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
ES,https://api.infosimples.com/consultas/docs/sefaz/es/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
GO,https://api.infosimples.com/consultas/docs/sefaz/go/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
MA,https://api.infosimples.com/consultas/docs/sefaz/ma/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
MT,https://api.infosimples.com/consultas/docs/sefaz/mt/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
MS,https://api.infosimples.com/consultas/docs/sefaz/ms/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
MG,https://api.infosimples.com/consultas/docs/sefaz/mg/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
PA,https://api.infosimples.com/consultas/docs/sefaz/pa/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
PB,https://api.infosimples.com/consultas/docs/sefaz/pb/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
PR,https://api.infosimples.com/consultas/docs/sefaz/pr/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
PE,https://api.infosimples.com/consultas/docs/sefaz/pe/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
PI,https://api.infosimples.com/consultas/docs/sefaz/pi/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
RJ,https://api.infosimples.com/consultas/docs/sefaz/rj/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
RN,https://api.infosimples.com/consultas/docs/sefaz/rn/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
RS,https://api.infosimples.com/consultas/docs/sefaz/rs/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
RO,https://api.infosimples.com/consultas/docs/sefaz/ro/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
RR,https://api.infosimples.com/consultas/docs/sefaz/rr/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
SC,https://api.infosimples.com/consultas/docs/sefaz/sc/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
SP,https://api.infosimples.com/consultas/docs/sefaz/sp/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
SE,https://api.infosimples.com/consultas/docs/sefaz/se/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
TO,https://api.infosimples.com/consultas/docs/sefaz/to/cfe,200,text/html; charset=utf-8,"<!DOCTYPE html> <html lang=""pt-br""> <head>   <meta charset=""utf-8"" />   <meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1"" />   <meta content='width=device-width, initial-scale=1.0, maximum"
